,movie,books,rating,average_votes
139,On the Silver Globe ,Tarzan And The Silver Globe ..,2.83,6
140,Paprika  ,Paprika,3.26,2019
141,Parasite Eve ,Parasite Eve,3.59,1164
142,The People That Time Forgot ,"The People That Time Forgot (Caspak, #2)",3.7,1706
143,The Postman ,The Postman,3.88,28329
144,The Power  ,The Power,3.88,85666
145,The Prestige ,The Prestige,3.88,15622
146,Princess of Mars,"A Princess of Mars (Barsoom, #1)",3.8,46302
147,Project X  ,Project X,3.57,921
148,Pursuit  American ,Julius Caesar: The Pursuit of Power,3.67,149667
149,The Quiet Earth ,The Quiet Earth,3.52,314
150,Radio Free Albemuth ,Radio Free Albemuth,3.8,5044
151,Ready Player One ,"Ready Player One (Ready Player One, #1)",4.28,678054
152,Return from Witch Mountain,Return from Witch Mountain,3.76,508
153,Riverworld  ,"The Gods of Riverworld (Riverworld, #5)",3.62,3313
154,Riverworld ,"The Gods of Riverworld (Riverworld, #5)",3.62,3313
155,The Road  ,The Road,3.96,622235
156,The Running Man  ,The Running Man,3.85,84096
157,The Satan Bug,The Satan Bug,3.7,2229
158,A Scanner Darkly ,A Scanner Darkly,4.03,72874
159,Skullduggery  ,Skullduggery,3.4,10
160,Slaughterhouse-Five ,Slaughterhouse-Five,4.07,991321
161,Solar Crisis ,"Solar Dance: Genius, Forgery and the Crisis of Truth in the Modern Age",3.39,107
162,Solaris  ,Solaris,3.98,58448
163,Soldier  American ,"Sherman: Soldier, Realist, American",4.13,213
164,Solo  ,Solo,3.99,6707
165,Somewhere in Time ,Somewhere In Time,3.89,6168
166,La Soupe aux choux,La soupe aux choux,3.97,60
167,Soylent Green,Soylent Green,3.72,5729
168,Stalker  ,"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)",4.02,28922
169,Starship Troopers ,Starship Troopers,4.0,165892
170,The Stepford Children,"Articles on Films Based on IRA Levin's Works, Including: The Boys from Brazil (Film), the Stepford Wives (2004 Film), a Kiss Before Dying (1991 Film), the Stepford Wives (1975 Film), Rosemary's Baby (Film), the Stepford Children",1.0,1
171,The Stepford Husbands,Stepford Husbands,2.75,12
172,The Stepford Wives  ,The Stepford Wives,3.74,24476
173,The Strange World of Planet X ,The Strange World of Planet X,3.0,1
174,The Subterraneans,Subterranean,4.02,20610
175,The Damned  ,"Damned (Damned, #1)",3.38,42437
176,The Thing  ,"Sweet Thing (Sweet Thing, #1)",3.99,15319
177,The Thirteenth Floor,The Prisoners of the Thirteenth Floor,4.29,7
178,This Island Earth,This Island Earth,3.66,135
179,The Three-Body Problem ,The Three-Body Problem (Remembrance of Earth’s Past #1),4.05,81680
180,The Time Machine  ,The Time Machine,3.88,348597
181,The Time Traveler's Wife ,The Time Traveler's Wife,3.96,1421978
182,Timeline  ,Timeline,3.84,171624
183,Timescape  ,Timescape,3.73,9503
184,À ton image,À ton image,2.0,4
185,A Trip to the Moon,Moonwalk: The First Trip to the Moon,3.81,81
186,The Tunnel Under the World ,The Tunnel Under the World,3.9,400
187,The Ugly Swans ,The Ugly Swans,4.31,1265
188,Village of the Damned  ,Retirement Village of the Damned,3.17,6
189,Village of the Giants,The Village Schoolmaster,3.3,40
190,Vinyl  ,Vinyl (Vinyl #1),4.14,400
191,Virus  ,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,4.11,84477
192,We  ,All the Light We Cannot See,4.33,752045
193,When Worlds Collide  ,"When Worlds Collide (When Worlds Collide, #1)",3.91,1848
194,Woman in the Moon,"Woman of the Sun, Woman of the Moon",3.57,23
195,World on a Wire,Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,3.96,17523
196,"The World, the Flesh and the Devil  ","The World, the Flesh and the Devil",3.92,133
197,A Wrinkle in Time  ,"A Wrinkle in Time (Time Quintet, #1)",4.02,829770
198,Z for Zachariah ,Z for Zachariah,3.65,12705
