,Title,Movie Rating,Movie Revenue,Book Title,Book Rating,Average Votes
112,the incredible shrinking woman,5.4,,The Incredible Shrinking Woman,2.67,6
113,the iron giant,8.0,,The Art of the Iron Giant - CANCELLED,4.28,46
114,the iron heel,,,The Iron Heel,3.75,6876
115,the iron heel of oligarchy,5.9,,,,
116,the island at the top of the world,6.3,,Island At The Top Of The World,3.85,127
117,jumper,6.1,80055499.0,"Jumper (Jumper, #1)",3.9,12140
118,jurassic park,8.1,45299680.0,"Jurassic Park (Jurassic Park, #1)",4.0,716286
119,k-pax,7.4,50040205.0,"K-Pax (K-Pax, #1)",4.09,2382
120,kamikaze 1989,,,,,
121,the land that time forgot,5.7,,"The Land That Time Forgot (Caspak, #1)",3.81,2377
122,the last man on earth,7.4,,"The Last Man on Earth (The Graysons, #1)",3.42,826
123,lathe of heaven,5.9,,The Lathe of Heaven,4.1,41770
124,the lathe of heaven,7.2,,The Lathe of Heaven,4.1,41770
125,lifeforce,6.1,,Hippocrates Lifeforce: Superior Health and Longevity,4.26,35
126,logan's run,6.8,,"Logan's Run (Logan, #1)",3.67,9072
127,lorelei: the witch of the pacific ocean,5.3,,,,
128,the lost world: jurassic park,6.5,,The Lost World (Jurassic Park #2),3.76,104826
129,les maîtres du temps,,,Le Maître Du Temps,4.33,3
130,the man who fell to earth,6.7,,The Man Who Fell to Earth,4.03,5035
131,marooned,5.8,,"Marooned in Realtime (Across Realtime, #2)",4.08,4670
132,the martian,8.0,202313768.0,The Martian,4.4,652644
133,the maze runner,6.8,98537272.0,"The Maze Runner (The Maze Runner, #1)",4.03,872243
134,maze runner: the death cure,6.3,57074211.0,Maze Runner: The Death Cure: The Official Graphic Novel Prelude,3.92,106
135,maze runner: the scorch trials,6.3,,Maze Runner: The Scorch Trials: The Official Graphic Novel Prelude,3.92,2624
136,the meg,5.7,,"Meg (MEG, #1)",3.75,15651
137,memoirs of an invisible man,5.9,,Memoirs of an Invisible Man,4.11,1465
138,metropolis,8.3,529603.0,"Dark Metropolis (Dark Metropolis, #1)",3.43,1116
139,millennium,8.1,,"The Girl with the Dragon Tattoo (Millennium, #1)",4.13,2224337
140,mission stardust,3.9,,The Extended Mission of Stardust Four Zero,3.0,1
141,mortal engines,6.5,,Mortal Engines,3.83,1984
142,mr. murder,,,Mr. Murder,3.74,22333
143,never let me go,7.2,2412045.0,Never Let Me Go,3.81,386767
144,night of the big heat,,,Night Of The Big Heat,3.44,18
145,night of the lepus,4.0,,,,
146,oasis,8.0,,The Hidden Oasis,3.78,2155
147,the omega man,6.6,,"Omega, the Man",3.29,17
148,on the silver globe,7.3,,Tarzan And The Silver Globe ..,2.83,6
149,panic in year zero!,6.7,,,,
150,paprika,7.7,720502.0,Paprika,3.26,2019
151,parasite eve,5.9,,Parasite Eve,3.59,1164
152,the people that time forgot,5.4,,"The People That Time Forgot (Caspak, #2)",3.7,1706
153,the postman,6.0,,The Postman,3.88,28329
154,the power,6.1,,The Power,3.88,85666
155,the prestige,8.5,53100000.0,The Prestige,3.88,15622
156,princess of mars,3.1,,"A Princess of Mars (Barsoom, #1)",3.8,46302
157,professor dowell's testament,,,,,
158,project x,6.7,53400000.0,Project X,3.57,921
159,pursuit,5.9,,Julius Caesar: The Pursuit of Power,3.67,149667
160,the quiet earth,6.8,,The Quiet Earth,3.52,314
161,radio free albemuth,5.8,169298.0,Radio Free Albemuth,3.8,5044
162,ready player one,7.5,,"Ready Player One (Ready Player One, #1)",4.28,678054
163,return from witch mountain,5.9,,Return from Witch Mountain,3.76,508
164,revenge of the stepford wives,4.8,,,,
165,riverworld,5.0,,"The Gods of Riverworld (Riverworld, #5)",3.62,3313
166,riverworld,5.0,,"The Gods of Riverworld (Riverworld, #5)",3.62,3313
167,riverworld,5.0,,"The Gods of Riverworld (Riverworld, #5)",3.62,3313
168,riverworld,5.0,,"The Gods of Riverworld (Riverworld, #5)",3.62,3313
169,the road,7.3,8025059.0,The Road,3.96,622235
170,the running man,6.7,,The Running Man,3.85,84096
171,the satan bug,6.2,,The Satan Bug,3.7,2229
172,sayonara jupiter,,,,,
173,a scanner darkly,7.1,5281537.0,A Scanner Darkly,4.03,72874
174,skullduggery,4.7,,Skullduggery,3.4,10
175,slapstick of another kind,2.2,,,,
176,slaughterhouse-five,6.9,,Slaughterhouse-Five,4.07,991321
177,solar crisis,3.8,,"Solar Dance: Genius, Forgery and the Crisis of Truth in the Modern Age",3.39,107
178,solaris,6.2,14780776.0,Solaris,3.98,58448
179,soldier,6.0,,"Sherman: Soldier, Realist, American",4.13,213
180,solo,3.9,,Solo,3.99,6707
181,somewhere in time,7.3,,Somewhere In Time,3.89,6168
182,la soupe aux choux,,,La soupe aux choux,3.97,60
183,soylent green,7.1,,Soylent Green,3.72,5729
184,stalker,8.1,268101.0,"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)",4.02,28922
185,starship troopers,7.2,,Starship Troopers,4.0,165892
186,the stepford children,5.2,,"Articles on Films Based on IRA Levin's Works, Including: The Boys from Brazil (Film), the Stepford Wives (2004 Film), a Kiss Before Dying (1991 Film), the Stepford Wives (1975 Film), Rosemary's Baby (Film), the Stepford Children",1.0,1
187,the stepford husbands,4.5,,Stepford Husbands,2.75,12
188,the stepford wives,5.3,59341993.0,The Stepford Wives,3.74,24476
189,the strange world of planet x,4.9,,The Strange World of Planet X,3.0,1
190,the subterraneans,5.2,,Subterranean,4.02,20610
191,the damned,7.6,,"Damned (Damned, #1)",3.38,42437
192,they came from beyond space,4.5,,,,
193,the thing,8.1,,"Sweet Thing (Sweet Thing, #1)",3.99,15319
194,the thirteenth floor,7.0,,The Prisoners of the Thirteenth Floor,4.29,7
195,this island earth,5.9,,This Island Earth,3.66,135
196,the three-body problem,,,The Three-Body Problem (Remembrance of Earth’s Past #1),4.05,81680
197,the time machine,5.9,56684819.0,The Time Machine,3.88,348597
198,the time traveler's wife,7.1,63387284.0,The Time Traveler's Wife,3.96,1421978
199,timeline,5.6,19375474.0,Timeline,3.84,171624
200,timescape,6.3,,Timescape,3.73,9503
201,à ton image,4.8,,À ton image,2.0,4
202,a trip to the moon,8.2,,Moonwalk: The First Trip to the Moon,3.81,81
203,the tunnel under the world,,,The Tunnel Under the World,3.9,400
204,the two worlds of jennie logan,7.1,,,,
205,the ugly swans,,,The Ugly Swans,4.31,1265
206,village of the damned,5.6,,Retirement Village of the Damned,3.17,6
207,village of the damned,5.6,,Retirement Village of the Damned,3.17,6
208,village of the giants,3.3,,The Village Schoolmaster,3.3,40
209,vinyl,7.8,,Vinyl (Vinyl #1),4.14,400
210,virus,4.9,,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,4.11,84477
211,we,7.1,72700000.0,All the Light We Cannot See,4.33,752045
212,when worlds collide,6.7,,"When Worlds Collide (When Worlds Collide, #1)",3.91,1848
213,woman in the moon,7.4,,"Woman of the Sun, Woman of the Moon",3.57,23
214,world on a wire,7.9,,Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,3.96,17523
215,"the world, the flesh and the devil",7.0,,"The World, the Flesh and the Devil",3.92,133
216,a wrinkle in time,4.2,,"A Wrinkle in Time (Time Quintet, #1)",4.02,829770
217,z for zachariah,6.0,118483.0,Z for Zachariah,3.65,12705
