Book Title,Book Rating,Average Votes,Title
"Sweet Thing (Sweet Thing, #1)",3.99,15319,the thing
The Prisoners of the Thirteenth Floor,4.29,7,the thirteenth floor
This Island Earth,3.66,135,this island earth
The Three-Body Problem (Remembrance of Earth’s Past #1),4.05,81680,the three-body problem
The Time Machine,3.88,348597,the time machine
The Time Traveler's Wife,3.96,1421978,the time traveler's wife
Timeline,3.84,171624,timeline
Timescape,3.73,9503,timescape
À ton image,2.0,4,à ton image
Moonwalk: The First Trip to the Moon,3.81,81,a trip to the moon
The Tunnel Under the World,3.9,400,the tunnel under the world
The Ugly Swans,4.31,1265,the ugly swans
Retirement Village of the Damned,3.17,6,village of the damned
The Village Schoolmaster,3.3,40,village of the giants
Vinyl (Vinyl #1),4.14,400,vinyl
The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,4.11,84477,virus
All the Light We Cannot See,4.33,752045,we
"When Worlds Collide (When Worlds Collide, #1)",3.91,1848,when worlds collide
"Woman of the Sun, Woman of the Moon",3.57,23,woman in the moon
Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,3.96,17523,world on a wire
"The World, the Flesh and the Devil",3.92,133,"the world, the flesh and the devil"
"A Wrinkle in Time (Time Quintet, #1)",4.02,829770,a wrinkle in time
Z for Zachariah,3.65,12705,z for zachariah
