Movie Title,Movie Rating,Movie Revenue,books,rating,average_votes
village of the damned,5.6,,Retirement Village of the Damned,3.17,6.0
earth vs. the flying saucers,6.4,,Twenty Thousand Leagues Under the Sea,3.87,167437.0
edge of tomorrow,7.9,77121429.0,The Face of Another,3.78,2716.0
the end of eternity,,,Fahrenheit 451,3.98,1354775.0
ender's game,6.6,61656849.0,Fantastic Planet,3.43,21.0
twenty thousand leagues under the sea,6.0,,"Twenty Thousand Leagues Under the Sea (Extraordinary Voyages, #6)",3.87,167437.0
the face of another,8.0,,Four-Sided Triangle,3.6,30.0
fahrenheit 451,7.3,,Freejack,3.82,1799.0
fantastic planet,7.8,,The Girl Who Leapt Through Time,3.34,1607.0
fatherland,6.5,,"The Girl With All the Gifts (The Girl With All the Gifts, #1)",3.94,157458.0
the final programme,5.6,,The Giver,4.12,1485184.0
four sided triangle,5.9,,"Gladiator (Galactic Gladiators, #1)",4.0,2264.0
freejack,5.3,,Goldengirl,3.27,44.0
the girl who leapt through time,7.8,,Tarnsman of Gor (Gor #1),3.41,3586.0
the girl with all the gifts,6.7,,The Guest from the Future: Anna Akhmatova and Isaiah Berlin,3.84,19.0
the giver,6.5,33480518.0,The Handmaid's Tale,4.09,996065.0
"bill, the galactic hero",5.3,,Blueprints,3.72,6217.0
goldengirl,4.5,,Harrison Bergeron,4.22,12160.0
the last man on earth,7.4,,The Martian,4.4,652405.0
guest from the future,8.4,,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.22,1183777.0
the handmaid's tale,8.6,,"The Host (The Host, #1)",3.84,816627.0
hard to be a god,6.7,,The Hunger Games Series (A BookCaps Study Guide),4.34,67.0
harrison bergeron,7.4,,I Am Legend,4.06,74727.0
the high crusade,5.0,,"I Am Number Four (Lorien Legacies, #1)",3.94,290790.0
the hitchhiker's guide to the galaxy,6.8,51019112.0,"In Search of the Castaways; or the Children of Captain Grant (Extraordinary Voyages, #5)",4.08,9196.0
the war of the worlds,7.2,,The War of the Worlds,3.81,206289.0
the hunger games,7.2,407981652.0,The Incredible Shrinking Woman,2.67,6.0
i am legend,7.2,256399999.0,The Art of the Iron Giant - CANCELLED,4.28,46.0
i am number four,6.1,55086029.0,The Iron Heel,3.75,6871.0
in search of the castaways,6.7,,"Jumper (Jumper, #1)",3.9,12137.0
the incredible shrinking man,7.7,,"Jurassic Park (Jurassic Park, #1)",4.0,716165.0
the incredible shrinking woman,5.4,,"K-Pax (K-Pax, #1)",4.09,2381.0
the iron giant,8.0,,"The Land That Time Forgot (Caspak, #1)",3.81,2376.0
